Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
KUVVA;118,9;-0,34;-4,88;-16,85;-14,64
KUYAS;61,3;9,96;15,01;7,45;14,58
KZBGY;12,87;2,31;-6,4;-0,31;18,07
KZGYO;25,9;1,17;-1,15;4,52;11,64
LIDER;75,45;0,47;6,72;2,51;7,79
LIDFA;3,08;1,65;-2,22;29,41;31,62
LILAK;33,86;1,62;8,8;8,25;16,76
LINK;240;0,17;6,67;3,63;10,65
LKMNH;17,19;2,57;-0,58;-2,88;-10,42
LMKDC;31,96;3,43;-0,13;7,97;12,93
LOGO;157,2;2,75;-1,69;0,7;4,45
LRSHO;4,14;1,22;-3,72;-15,16;5,34
LUKSK;109,9;2,23;0,64;-5,18;6,8
LYDHO;186,9;3,26;3,72;15,23;11,25
LYDYE;14140;1,11;1;2,09;1,42
MAALT;999;1,37;8;7,36;10,75
MACKO;27,06;1,73;-3,91;9,11;-12,43
MAGEN;44,22;6,04;4,59;5,44;16
MAKIM;16,9;3,05;2,74;12,07;13,04
MAKTK;17,02;4,67;2,35;19,86;10,16
MANAS;11,38;9,95;14,95;14,49;35,96
MARBL;13,84;1,91;0,8;3,52;12,8
MARKA;36,12;4,09;4,27;3,61;-2,8
MARMR;3,01;-2,27;5,24;62,7;91,72
MARTI;2,86;4,38;-0,35;3,62;6,72
MAVI;48,32;3,69;2,9;7,38;11,03
MEDTR;30,1;1,42;0,13;5,1;4,66
MEGAP;2,9;0,35;-1,69;-7,64;-12,12
MEGMT;69,9;2,42;8,88;26,06;29,21
MEKAG;5,1;3,66;7,37;34,21;31,78
MEPET;22,68;2,62;-6,82;32,09;48,53
MERCN;18,44;5,07;13,69;13,9;6,71
MERIT;18,03;7,83;9,14;1,35;0,73
MERKO;16,83;0,66;4,53;19,79;23,75
METRO;5,61;4,47;2,94;23,03;41,31
MEYSU;14,91;1,77;5,15;-;-
MGROS;670,5;2,68;5,26;13,36;28,45
MHRGY;3,74;2,19;6,86;5,95;8,41
MIATK;36,76;1,1;0,82;-0,65;-6,75
MMCAS;117,1;2,63;21,28;-11,42;-13,19
MNDRS;14,93;3,25;0,81;1,01;11,5
MNDTR;6,72;1,66;-1,03;-0,3;2,28
MOBTL;10,58;1,63;4,03;9,64;16,78
MOGAN;9,08;2,6;3,53;8,74;10,87
MOPAS;55;0,18;5,77;44,66;36,82
MPARK;458,75;1,16;2,4;15,77;20,57
MRGYO;2,64;1,15;-2,94;-3,3;10,46
MRSHL;1576;0,7;1,81;0,45;0,51
MSGYO;6,23;3,83;2,81;5,24;0,48
MTRKS;22,96;1,59;-3,61;7,59;4,46
MTRYO;10,8;4,75;-1,64;-10;25,14
MZHLD;6,66;0,91;0,3;7,42;6,39
NATEN;8,4;0,84;-0,12;-11,39;-3,11
NETAS;64,5;3,7;-1,98;4,88;13,56
NETCD;61,2;9,97;-;-;-
NIBAS;3,67;1,94;-3,93;7,94;1,38
NTGAZ;11,32;1,34;-2,67;12,3;7,81
